year,scenario,scenario_label,yield_t_ha,yield_lower_80,yield_upper_80,total_prod_t,area_ha
2026,optimist_ssp126,İyimser (SSP1-2.6),3.132,2.709,3.555,1816624,580000
2027,optimist_ssp126,İyimser (SSP1-2.6),3.16,2.741,3.58,1832892,580000
2028,optimist_ssp126,İyimser (SSP1-2.6),3.237,2.933,3.54,1877173,580000
2029,optimist_ssp126,İyimser (SSP1-2.6),3.259,2.98,3.539,1890447,580000
2030,optimist_ssp126,İyimser (SSP1-2.6),3.25,2.977,3.523,1885224,580000
2025,orta_ssp245,Orta (SSP2-4.5),3.109,2.697,3.521,1803440,580000
2026,orta_ssp245,Orta (SSP2-4.5),3.141,2.721,3.561,1821783,580000
2027,orta_ssp245,Orta (SSP2-4.5),3.142,2.722,3.562,1822414,580000
2028,orta_ssp245,Orta (SSP2-4.5),3.157,2.721,3.593,1831046,580000
2029,orta_ssp245,Orta (SSP2-4.5),3.129,2.673,3.585,1815005,580000
2030,orta_ssp245,Orta (SSP2-4.5),3.13,2.673,3.587,1815528,580000
2025,kotumser_ssp585,Kötümser (SSP5-8.5),3.165,2.738,3.591,1835449,580000
2026,kotumser_ssp585,Kötümser (SSP5-8.5),3.152,2.719,3.585,1828309,580000
2027,kotumser_ssp585,Kötümser (SSP5-8.5),3.142,2.686,3.598,1822237,580000
2028,kotumser_ssp585,Kötümser (SSP5-8.5),3.158,2.697,3.619,1831640,580000
2029,kotumser_ssp585,Kötümser (SSP5-8.5),3.164,2.7,3.629,1835300,580000
2030,kotumser_ssp585,Kötümser (SSP5-8.5),3.215,2.744,3.686,1864807,580000
