year,crop,yield_t_ha,area_ha,total_prod_t,drought_year_x,flood_year,frost_year,region,country,ndvi_mean,ndvi_peak,lst_mean,precip_annual_mm,drought_year_y
2010,bugday,3.262,580000,1891707,False,False,False,Konya,Turkey,0.62425,0.9022,10.933333333333335,204.79999999999998,True
2011,bugday,2.849,580000,1652404,False,False,True,Konya,Turkey,0.6315416666666667,0.8982,11.006666666666668,230.3,True
2012,bugday,3.017,580000,1750148,False,False,False,Konya,Turkey,0.5740833333333334,0.8104,11.1075,200.2,True
2013,bugday,3.409,580000,1977000,False,False,False,Konya,Turkey,0.6053833333333333,0.8484,11.518333333333333,214.6,True
2014,bugday,2.254,580000,1307372,True,False,False,Konya,Turkey,0.6443,0.9355,11.305,297.0,False
2015,bugday,3.344,580000,1939392,False,False,False,Konya,Turkey,0.5794916666666666,0.8135,10.454166666666667,333.7,False
2016,bugday,3.055,580000,1771967,False,True,False,Konya,Turkey,0.5878083333333334,0.8205,11.262500000000001,320.3,False
2017,bugday,3.201,580000,1856718,False,False,False,Konya,Turkey,0.6379833333333333,0.9243,12.1725,321.9,False
2018,bugday,2.572,580000,1492027,True,False,False,Konya,Turkey,0.568025,0.837,11.5625,270.7,True
2019,bugday,3.384,580000,1962614,False,False,False,Konya,Turkey,0.57615,0.8658,11.461666666666666,309.7,False
2020,bugday,3.17,580000,1838709,False,False,True,Konya,Turkey,0.630625,0.8565,10.475833333333334,261.4,False
2021,bugday,2.365,580000,1371455,True,False,False,Konya,Turkey,0.5728916666666667,0.8233,11.980833333333331,318.5,False
2022,bugday,3.236,580000,1876630,False,False,False,Konya,Turkey,0.5998,0.9289,10.733333333333333,310.7,False
2023,bugday,3.363,580000,1950817,False,False,False,Konya,Turkey,0.604225,0.8603,11.553333333333333,324.1,False
2024,bugday,3.058,580000,1773442,False,False,False,Konya,Turkey,0.5670000000000001,0.8417,11.135,319.9,False
