year,month,precip_mm,drought_year,source
2010,1,34.1,True,CHIRPS v2.0 (simulated)
2010,2,8.8,True,CHIRPS v2.0 (simulated)
2010,3,17.9,True,CHIRPS v2.0 (simulated)
2010,4,23.3,True,CHIRPS v2.0 (simulated)
2010,5,13.1,True,CHIRPS v2.0 (simulated)
2010,6,12.4,True,CHIRPS v2.0 (simulated)
2010,7,7.4,True,CHIRPS v2.0 (simulated)
2010,8,3.3,True,CHIRPS v2.0 (simulated)
2010,9,10.5,True,CHIRPS v2.0 (simulated)
2010,10,22.0,True,CHIRPS v2.0 (simulated)
2010,11,32.8,True,CHIRPS v2.0 (simulated)
2010,12,19.2,True,CHIRPS v2.0 (simulated)
2011,1,25.2,True,CHIRPS v2.0 (simulated)
2011,2,18.4,True,CHIRPS v2.0 (simulated)
2011,3,35.5,True,CHIRPS v2.0 (simulated)
2011,4,39.6,True,CHIRPS v2.0 (simulated)
2011,5,28.1,True,CHIRPS v2.0 (simulated)
2011,6,14.1,True,CHIRPS v2.0 (simulated)
2011,7,1.3,True,CHIRPS v2.0 (simulated)
2011,8,1.8,True,CHIRPS v2.0 (simulated)
2011,9,15.0,True,CHIRPS v2.0 (simulated)
2011,10,16.3,True,CHIRPS v2.0 (simulated)
2011,11,10.5,True,CHIRPS v2.0 (simulated)
2011,12,24.5,True,CHIRPS v2.0 (simulated)
2012,1,25.6,True,CHIRPS v2.0 (simulated)
2012,2,0.7,True,CHIRPS v2.0 (simulated)
2012,3,46.1,True,CHIRPS v2.0 (simulated)
2012,4,24.1,True,CHIRPS v2.0 (simulated)
2012,5,17.7,True,CHIRPS v2.0 (simulated)
2012,6,22.7,True,CHIRPS v2.0 (simulated)
2012,7,5.4,True,CHIRPS v2.0 (simulated)
2012,8,0.0,True,CHIRPS v2.0 (simulated)
2012,9,10.8,True,CHIRPS v2.0 (simulated)
2012,10,11.3,True,CHIRPS v2.0 (simulated)
2012,11,10.7,True,CHIRPS v2.0 (simulated)
2012,12,25.1,True,CHIRPS v2.0 (simulated)
2013,1,14.9,True,CHIRPS v2.0 (simulated)
2013,2,35.3,True,CHIRPS v2.0 (simulated)
2013,3,8.1,True,CHIRPS v2.0 (simulated)
2013,4,40.2,True,CHIRPS v2.0 (simulated)
2013,5,28.3,True,CHIRPS v2.0 (simulated)
2013,6,16.2,True,CHIRPS v2.0 (simulated)
2013,7,3.4,True,CHIRPS v2.0 (simulated)
2013,8,5.6,True,CHIRPS v2.0 (simulated)
2013,9,10.3,True,CHIRPS v2.0 (simulated)
2013,10,29.4,True,CHIRPS v2.0 (simulated)
2013,11,0.0,True,CHIRPS v2.0 (simulated)
2013,12,22.9,True,CHIRPS v2.0 (simulated)
2014,1,35.0,False,CHIRPS v2.0 (simulated)
2014,2,18.3,False,CHIRPS v2.0 (simulated)
2014,3,46.7,False,CHIRPS v2.0 (simulated)
2014,4,13.3,False,CHIRPS v2.0 (simulated)
2014,5,21.7,False,CHIRPS v2.0 (simulated)
2014,6,13.6,False,CHIRPS v2.0 (simulated)
2014,7,6.2,False,CHIRPS v2.0 (simulated)
2014,8,6.4,False,CHIRPS v2.0 (simulated)
2014,9,10.6,False,CHIRPS v2.0 (simulated)
2014,10,37.4,False,CHIRPS v2.0 (simulated)
2014,11,26.8,False,CHIRPS v2.0 (simulated)
2014,12,61.0,False,CHIRPS v2.0 (simulated)
2015,1,38.4,False,CHIRPS v2.0 (simulated)
2015,2,17.7,False,CHIRPS v2.0 (simulated)
2015,3,66.4,False,CHIRPS v2.0 (simulated)
2015,4,40.8,False,CHIRPS v2.0 (simulated)
2015,5,30.4,False,CHIRPS v2.0 (simulated)
2015,6,13.0,False,CHIRPS v2.0 (simulated)
2015,7,9.4,False,CHIRPS v2.0 (simulated)
2015,8,9.6,False,CHIRPS v2.0 (simulated)
2015,9,13.1,False,CHIRPS v2.0 (simulated)
2015,10,20.7,False,CHIRPS v2.0 (simulated)
2015,11,41.6,False,CHIRPS v2.0 (simulated)
2015,12,32.6,False,CHIRPS v2.0 (simulated)
2016,1,24.1,False,CHIRPS v2.0 (simulated)
2016,2,17.4,False,CHIRPS v2.0 (simulated)
2016,3,41.5,False,CHIRPS v2.0 (simulated)
2016,4,69.3,False,CHIRPS v2.0 (simulated)
