il,bolge,year,scenario,scenario_label,tarim_skoru,skor_ust,skor_alt,yagis_proj,ndvi_proj,hassasiyet
Bolu,Karadeniz,2025,optimist_ssp126,İyimser (SSP1-2.6),6.5851,6.967,6.2031,915.2,0.5669,0.7
Bolu,Karadeniz,2026,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.0197,6.1504,912.4,0.5659,0.7
Bolu,Karadeniz,2027,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.0723,6.0978,909.7,0.5649,0.7
Bolu,Karadeniz,2028,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.125,6.0451,906.9,0.5639,0.7
Bolu,Karadeniz,2029,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.1777,5.9924,904.2,0.5629,0.7
Bolu,Karadeniz,2030,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.2304,5.9397,901.4,0.5619,0.7
Bolu,Karadeniz,2031,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.2831,5.887,898.6,0.5609,0.7
Bolu,Karadeniz,2032,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.3357,5.8344,895.9,0.5599,0.7
Bolu,Karadeniz,2033,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.3884,5.7817,893.1,0.5589,0.7
Bolu,Karadeniz,2034,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.4411,5.729,890.4,0.5579,0.7
Bolu,Karadeniz,2035,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.4938,5.6763,887.6,0.5569,0.7
Bolu,Karadeniz,2036,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.5465,5.6236,884.9,0.5559,0.7
Bolu,Karadeniz,2037,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.5991,5.571,882.1,0.5549,0.7
Bolu,Karadeniz,2038,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.6518,5.5183,879.4,0.5539,0.7
Bolu,Karadeniz,2039,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.7045,5.4656,876.6,0.5529,0.7
Bolu,Karadeniz,2040,optimist_ssp126,İyimser (SSP1-2.6),6.5851,7.7572,5.4129,873.9,0.5519,0.7
Bolu,Karadeniz,2041,optimist_ssp126,İyimser (SSP1-2.6),6.2535,7.4166,5.0903,871.1,0.5509,0.7
Bolu,Karadeniz,2042,optimist_ssp126,İyimser (SSP1-2.6),6.2466,7.4584,5.0347,868.4,0.5499,0.7
Bolu,Karadeniz,2043,optimist_ssp126,İyimser (SSP1-2.6),6.2397,7.5001,4.9793,865.6,0.5489,0.7
Bolu,Karadeniz,2044,optimist_ssp126,İyimser (SSP1-2.6),6.2328,7.5416,4.9239,862.8,0.5479,0.7
Bolu,Karadeniz,2045,optimist_ssp126,İyimser (SSP1-2.6),6.2237,7.5804,4.8669,860.1,0.5469,0.7
Bolu,Karadeniz,2046,optimist_ssp126,İyimser (SSP1-2.6),6.2146,7.6191,4.8101,857.3,0.5459,0.7
Bolu,Karadeniz,2047,optimist_ssp126,İyimser (SSP1-2.6),6.2055,7.6576,4.7534,854.6,0.5449,0.7
Bolu,Karadeniz,2048,optimist_ssp126,İyimser (SSP1-2.6),6.1964,7.6959,4.6969,851.8,0.5439,0.7
Bolu,Karadeniz,2049,optimist_ssp126,İyimser (SSP1-2.6),6.1873,7.7342,4.6405,849.1,0.5429,0.7
Bolu,Karadeniz,2050,optimist_ssp126,İyimser (SSP1-2.6),6.1783,7.7723,4.5843,846.3,0.5419,0.7
Bolu,Karadeniz,2025,orta_ssp245,Orta (SSP2-4.5),6.5851,6.967,6.2031,912.4,0.5659,0.7
Bolu,Karadeniz,2026,orta_ssp245,Orta (SSP2-4.5),6.5851,7.0197,6.1504,906.9,0.5639,0.7
Bolu,Karadeniz,2027,orta_ssp245,Orta (SSP2-4.5),6.5851,7.0723,6.0978,901.4,0.5619,0.7
Bolu,Karadeniz,2028,orta_ssp245,Orta (SSP2-4.5),6.5851,7.125,6.0451,895.9,0.5599,0.7
Bolu,Karadeniz,2029,orta_ssp245,Orta (SSP2-4.5),6.5851,7.1777,5.9924,890.4,0.5579,0.7
Bolu,Karadeniz,2030,orta_ssp245,Orta (SSP2-4.5),6.5851,7.2304,5.9397,884.9,0.5559,0.7
Bolu,Karadeniz,2031,orta_ssp245,Orta (SSP2-4.5),6.5851,7.2831,5.887,879.4,0.5539,0.7
Bolu,Karadeniz,2032,orta_ssp245,Orta (SSP2-4.5),6.5851,7.3357,5.8344,873.9,0.5519,0.7
Bolu,Karadeniz,2033,orta_ssp245,Orta (SSP2-4.5),6.2466,7.0087,5.4845,868.4,0.5499,0.7
Bolu,Karadeniz,2034,orta_ssp245,Orta (SSP2-4.5),6.2328,7.043,5.4225,862.8,0.5479,0.7
Bolu,Karadeniz,2035,orta_ssp245,Orta (SSP2-4.5),6.2189,7.0771,5.3607,857.3,0.5459,0.7
Bolu,Karadeniz,2036,orta_ssp245,Orta (SSP2-4.5),6.2016,7.1071,5.2962,851.8,0.5439,0.7
Bolu,Karadeniz,2037,orta_ssp245,Orta (SSP2-4.5),6.1839,7.1362,5.2316,846.3,0.5419,0.7
Bolu,Karadeniz,2038,orta_ssp245,Orta (SSP2-4.5),6.1662,7.1651,5.1673,840.8,0.5399,0.7
Bolu,Karadeniz,2039,orta_ssp245,Orta (SSP2-4.5),6.1485,7.1938,5.1033,835.3,0.5379,0.7
Bolu,Karadeniz,2040,orta_ssp245,Orta (SSP2-4.5),6.1308,7.2221,5.0395,829.8,0.5359,0.7
Bolu,Karadeniz,2041,orta_ssp245,Orta (SSP2-4.5),6.1132,7.2502,4.9761,824.3,0.5339,0.7
Bolu,Karadeniz,2042,orta_ssp245,Orta (SSP2-4.5),6.0956,7.2781,4.913,818.8,0.5319,0.7
Bolu,Karadeniz,2043,orta_ssp245,Orta (SSP2-4.5),6.0779,7.3057,4.8502,813.3,0.5299,0.7
Bolu,Karadeniz,2044,orta_ssp245,Orta (SSP2-4.5),6.0603,7.333,4.7877,807.8,0.5279,0.7
Bolu,Karadeniz,2045,orta_ssp245,Orta (SSP2-4.5),6.0428,7.3601,4.7254,802.3,0.5259,0.7
Bolu,Karadeniz,2046,orta_ssp245,Orta (SSP2-4.5),6.0252,7.3869,4.6635,796.8,0.5239,0.7
Bolu,Karadeniz,2047,orta_ssp245,Orta (SSP2-4.5),6.0076,7.4134,4.6019,791.2,0.5219,0.7
Bolu,Karadeniz,2048,orta_ssp245,Orta (SSP2-4.5),5.9901,7.4397,4.5405,785.7,0.5199,0.7
Bolu,Karadeniz,2049,orta_ssp245,Orta (SSP2-4.5),5.9726,7.4657,4.4794,780.2,0.5179,0.7
Bolu,Karadeniz,2050,orta_ssp245,Orta (SSP2-4.5),5.5174,6.9409,4.0939,774.7,0.5159,0.7
Bolu,Karadeniz,2025,kotumser_ssp585,Kötümser (SSP5-8.5),6.5851,6.967,6.2031,906.9,0.5639,0.7
Bolu,Karadeniz,2026,kotumser_ssp585,Kötümser (SSP5-8.5),6.5851,7.0197,6.1504,895.9,0.5599,0.7
Bolu,Karadeniz,2027,kotumser_ssp585,Kötümser (SSP5-8.5),6.5851,7.0723,6.0978,884.9,0.5559,0.7
Bolu,Karadeniz,2028,kotumser_ssp585,Kötümser (SSP5-8.5),6.5851,7.125,6.0451,873.9,0.5519,0.7
Bolu,Karadeniz,2029,kotumser_ssp585,Kötümser (SSP5-8.5),6.2328,6.7937,5.6718,862.8,0.5479,0.7
