il,ilce,year,month,ndvi
Adana,Aladağ,2019,1,0.2431
Adana,Aladağ,2019,2,0.4709
Adana,Aladağ,2019,3,0.4278
Adana,Aladağ,2019,4,
Adana,Aladağ,2019,5,0.4727
Adana,Aladağ,2019,6,0.4493
Adana,Aladağ,2019,7,0.4389
Adana,Aladağ,2019,8,0.4355
Adana,Aladağ,2019,9,0.4308
Adana,Aladağ,2019,10,0.4483
Adana,Aladağ,2019,11,0.4845
Adana,Aladağ,2019,12,0.5005
Adana,Aladağ,2020,1,0.2683
Adana,Aladağ,2020,2,0.4083
Adana,Aladağ,2020,3,0.4176
Adana,Aladağ,2020,4,0.4313
Adana,Aladağ,2020,5,0.458
Adana,Aladağ,2020,6,0.4548
Adana,Aladağ,2020,7,0.4285
Adana,Aladağ,2020,8,0.418
Adana,Aladağ,2020,9,0.4097
Adana,Aladağ,2020,10,0.4385
Adana,Aladağ,2020,11,0.4729
Adana,Aladağ,2020,12,0.4767
Adana,Aladağ,2021,1,0.4825
Adana,Aladağ,2021,2,0.3928
Adana,Aladağ,2021,3,0.4453
Adana,Aladağ,2021,4,0.4177
Adana,Aladağ,2021,5,0.4635
Adana,Aladağ,2021,6,0.4403
Adana,Aladağ,2021,7,0.4084
Adana,Aladağ,2021,8,0.4081
Adana,Aladağ,2021,9,0.3904
Adana,Aladağ,2021,10,0.4445
Adana,Aladağ,2021,11,0.4765
Adana,Aladağ,2021,12,0.3272
Adana,Aladağ,2022,1,0.3643
Adana,Aladağ,2022,2,0.1995
Adana,Aladağ,2022,3,0.3454
Adana,Aladağ,2022,4,0.3611
Adana,Aladağ,2022,5,0.4436
Adana,Aladağ,2022,6,0.4328
Adana,Aladağ,2022,7,0.4191
Adana,Aladağ,2022,8,0.4059
Adana,Aladağ,2022,9,0.4088
Adana,Aladağ,2022,10,0.4423
Adana,Aladağ,2022,11,0.4508
Adana,Aladağ,2022,12,0.4151
Adana,Aladağ,2023,1,0.4719
Adana,Aladağ,2023,2,0.2717
Adana,Aladağ,2023,3,0.4218
Adana,Aladağ,2023,4,0.4473
Adana,Aladağ,2023,5,0.4662
Adana,Aladağ,2023,6,0.4792
Adana,Aladağ,2023,7,0.4374
Adana,Aladağ,2023,8,0.4205
Adana,Aladağ,2023,9,0.4478
Adana,Aladağ,2023,10,0.4758
Adana,Aladağ,2023,11,0.4338
