year,month,precip_mm,il,source,drought_year
2004,1,155.9,İstanbul,Open-Meteo (ERA5),False
2004,2,66.1,İstanbul,Open-Meteo (ERA5),False
2004,3,65.8,İstanbul,Open-Meteo (ERA5),False
2004,4,21.9,İstanbul,Open-Meteo (ERA5),False
2004,5,20.9,İstanbul,Open-Meteo (ERA5),False
2004,6,30.8,İstanbul,Open-Meteo (ERA5),False
2004,7,5.4,İstanbul,Open-Meteo (ERA5),False
2004,8,37.8,İstanbul,Open-Meteo (ERA5),False
2004,9,4.3,İstanbul,Open-Meteo (ERA5),False
2004,10,42.0,İstanbul,Open-Meteo (ERA5),False
2004,11,71.0,İstanbul,Open-Meteo (ERA5),False
2004,12,48.1,İstanbul,Open-Meteo (ERA5),False
2005,1,126.2,İstanbul,Open-Meteo (ERA5),False
2005,2,108.5,İstanbul,Open-Meteo (ERA5),False
2005,3,66.8,İstanbul,Open-Meteo (ERA5),False
2005,4,36.1,İstanbul,Open-Meteo (ERA5),False
2005,5,12.3,İstanbul,Open-Meteo (ERA5),False
2005,6,8.2,İstanbul,Open-Meteo (ERA5),False
2005,7,71.9,İstanbul,Open-Meteo (ERA5),False
2005,8,9.3,İstanbul,Open-Meteo (ERA5),False
2005,9,74.1,İstanbul,Open-Meteo (ERA5),False
2005,10,66.4,İstanbul,Open-Meteo (ERA5),False
2005,11,122.5,İstanbul,Open-Meteo (ERA5),False
2005,12,125.0,İstanbul,Open-Meteo (ERA5),False
2006,1,79.3,İstanbul,Open-Meteo (ERA5),False
2006,2,103.0,İstanbul,Open-Meteo (ERA5),False
2006,3,87.2,İstanbul,Open-Meteo (ERA5),False
2006,4,16.3,İstanbul,Open-Meteo (ERA5),False
2006,5,16.7,İstanbul,Open-Meteo (ERA5),False
2006,6,38.1,İstanbul,Open-Meteo (ERA5),False
2006,7,2.6,İstanbul,Open-Meteo (ERA5),False
2006,8,10.8,İstanbul,Open-Meteo (ERA5),False
2006,9,66.0,İstanbul,Open-Meteo (ERA5),False
2006,10,54.7,İstanbul,Open-Meteo (ERA5),False
2006,11,78.8,İstanbul,Open-Meteo (ERA5),False
2006,12,33.8,İstanbul,Open-Meteo (ERA5),False
2007,1,65.3,İstanbul,Open-Meteo (ERA5),False
2007,2,22.6,İstanbul,Open-Meteo (ERA5),False
2007,3,47.4,İstanbul,Open-Meteo (ERA5),False
2007,4,13.8,İstanbul,Open-Meteo (ERA5),False
2007,5,23.6,İstanbul,Open-Meteo (ERA5),False
2007,6,10.2,İstanbul,Open-Meteo (ERA5),False
2007,7,2.1,İstanbul,Open-Meteo (ERA5),False
2007,8,23.2,İstanbul,Open-Meteo (ERA5),False
2007,9,25.8,İstanbul,Open-Meteo (ERA5),False
2007,10,64.4,İstanbul,Open-Meteo (ERA5),False
2007,11,108.8,İstanbul,Open-Meteo (ERA5),False
2007,12,73.8,İstanbul,Open-Meteo (ERA5),False
2008,1,46.2,İstanbul,Open-Meteo (ERA5),False
2008,2,47.5,İstanbul,Open-Meteo (ERA5),False
2008,3,82.3,İstanbul,Open-Meteo (ERA5),False
2008,4,30.9,İstanbul,Open-Meteo (ERA5),False
2008,5,18.2,İstanbul,Open-Meteo (ERA5),False
2008,6,6.4,İstanbul,Open-Meteo (ERA5),False
2008,7,9.2,İstanbul,Open-Meteo (ERA5),False
2008,8,0.9,İstanbul,Open-Meteo (ERA5),False
2008,9,114.5,İstanbul,Open-Meteo (ERA5),False
2008,10,56.0,İstanbul,Open-Meteo (ERA5),False
