il,year,month,ndvi,source
İstanbul,2004,1,,Landsat7
İstanbul,2004,2,,Landsat7
İstanbul,2004,3,0.0352,Landsat7
İstanbul,2004,4,0.1324,Landsat7
İstanbul,2004,5,0.1193,Landsat7
İstanbul,2004,6,0.13,Landsat7
İstanbul,2004,7,0.1602,Landsat7
İstanbul,2004,8,0.0689,Landsat7
İstanbul,2004,9,0.0856,Landsat7
İstanbul,2004,10,0.0686,Landsat7
İstanbul,2004,11,0.0959,Landsat7
İstanbul,2004,12,0.0891,Landsat7
İstanbul,2005,1,0.0648,Landsat7
İstanbul,2005,2,0.0783,Landsat7
İstanbul,2005,3,0.1138,Landsat7
İstanbul,2005,4,0.1237,Landsat7
İstanbul,2005,5,,Landsat7
İstanbul,2005,6,0.1854,Landsat7
İstanbul,2005,7,-0.1109,Landsat7
İstanbul,2005,8,0.0941,Landsat7
İstanbul,2005,9,0.0591,Landsat7
İstanbul,2005,10,0.0886,Landsat7
İstanbul,2005,11,,Landsat7
İstanbul,2005,12,,Landsat7
İstanbul,2006,1,,Landsat7
İstanbul,2006,2,0.0043,Landsat7
İstanbul,2006,3,0.1506,Landsat7
İstanbul,2006,4,,Landsat7
İstanbul,2006,5,0.1739,Landsat7
İstanbul,2006,6,0.1146,Landsat7
İstanbul,2006,7,0.039,Landsat7
İstanbul,2006,8,0.1076,Landsat7
İstanbul,2006,9,0.0383,Landsat7
İstanbul,2006,10,,Landsat7
İstanbul,2006,11,0.0891,Landsat7
İstanbul,2006,12,0.0477,Landsat7
İstanbul,2007,1,0.063,Landsat7
İstanbul,2007,2,0.1325,Landsat7
İstanbul,2007,3,0.012,Landsat7
İstanbul,2007,4,-0.0532,Landsat7
İstanbul,2007,5,0.1019,Landsat7
İstanbul,2007,6,0.135,Landsat7
İstanbul,2007,7,0.0144,Landsat7
İstanbul,2007,8,0.1032,Landsat7
İstanbul,2007,9,0.1278,Landsat7
İstanbul,2007,10,0.087,Landsat7
İstanbul,2007,11,0.0194,Landsat7
İstanbul,2007,12,,Landsat7
İstanbul,2008,1,0.0698,Landsat7
İstanbul,2008,2,0.0417,Landsat7
İstanbul,2008,3,0.1443,Landsat7
İstanbul,2008,4,0.0902,Landsat7
İstanbul,2008,5,0.1272,Landsat7
İstanbul,2008,6,0.0911,Landsat7
İstanbul,2008,7,0.1054,Landsat7
İstanbul,2008,8,0.0685,Landsat7
İstanbul,2008,9,-0.0446,Landsat7
İstanbul,2008,10,0.1108,Landsat7
İstanbul,2008,11,0.1009,Landsat7
İstanbul,2008,12,,Landsat7
İstanbul,2009,1,,Landsat7
İstanbul,2009,2,,Landsat7
İstanbul,2009,3,,Landsat7
İstanbul,2009,4,,Landsat7
İstanbul,2009,5,0.1216,Landsat7
İstanbul,2009,6,0.1134,Landsat7
İstanbul,2009,7,0.0659,Landsat7
İstanbul,2009,8,0.0749,Landsat7
İstanbul,2009,9,0.1076,Landsat7
İstanbul,2009,10,0.1616,Landsat7
İstanbul,2009,11,0.147,Landsat7
İstanbul,2009,12,,Landsat7
İstanbul,2010,1,,Landsat7
İstanbul,2010,2,,Landsat7
İstanbul,2010,3,-0.1221,Landsat7
İstanbul,2010,4,0.1931,Landsat7
