date,year,month,ndvi,ndwi,lst_celsius,cloud_cover_pct,source
2010-01-15,2010,1,0.4079,0.0834,1.4,32.7,Sentinel-2/Landsat8 (simulated)
2010-02-15,2010,2,0.4879,0.1189,-0.11,34.5,Sentinel-2/Landsat8 (simulated)
2010-03-15,2010,3,0.606,0.1363,1.32,7.5,Sentinel-2/Landsat8 (simulated)
2010-04-15,2010,4,0.752,0.2238,15.4,17.6,Sentinel-2/Landsat8 (simulated)
2010-05-15,2010,5,0.7891,0.2779,30.43,13.4,Sentinel-2/Landsat8 (simulated)
2010-06-15,2010,6,0.9022,0.2153,35.35,13.3,Sentinel-2/Landsat8 (simulated)
2010-07-15,2010,7,0.8452,0.2623,28.47,29.8,Sentinel-2/Landsat8 (simulated)
2010-08-15,2010,8,0.7135,0.233,13.69,8.6,Sentinel-2/Landsat8 (simulated)
2010-09-15,2010,9,0.6855,0.1854,-0.64,34.5,Sentinel-2/Landsat8 (simulated)
2010-10-15,2010,10,0.5481,0.1236,3.56,20.4,Sentinel-2/Landsat8 (simulated)
2010-11-15,2010,11,0.4092,0.0816,1.56,14.1,Sentinel-2/Landsat8 (simulated)
2010-12-15,2010,12,0.3444,0.0497,0.77,14.3,Sentinel-2/Landsat8 (simulated)
2011-01-15,2011,1,0.44,0.1333,1.7,31.2,Sentinel-2/Landsat8 (simulated)
2011-02-15,2011,2,0.5047,0.1063,-5.34,6.8,Sentinel-2/Landsat8 (simulated)
2011-03-15,2011,3,0.6274,0.1967,-0.89,18.0,Sentinel-2/Landsat8 (simulated)
2011-04-15,2011,4,0.7376,0.2045,15.84,18.9,Sentinel-2/Landsat8 (simulated)
2011-05-15,2011,5,0.8235,0.3157,34.14,30.8,Sentinel-2/Landsat8 (simulated)
2011-06-15,2011,6,0.8982,0.2735,32.73,31.5,Sentinel-2/Landsat8 (simulated)
2011-07-15,2011,7,0.8145,0.3003,33.35,7.5,Sentinel-2/Landsat8 (simulated)
2011-08-15,2011,8,0.7975,0.249,13.17,21.8,Sentinel-2/Landsat8 (simulated)
2011-09-15,2011,9,0.6633,0.2208,0.6,5.7,Sentinel-2/Landsat8 (simulated)
2011-10-15,2011,10,0.4812,0.172,2.27,17.2,Sentinel-2/Landsat8 (simulated)
2011-11-15,2011,11,0.4048,0.0509,4.28,15.7,Sentinel-2/Landsat8 (simulated)
2011-12-15,2011,12,0.3858,0.1464,0.23,17.3,Sentinel-2/Landsat8 (simulated)
2012-01-15,2012,1,0.3655,0.0619,0.88,8.3,Sentinel-2/Landsat8 (simulated)
2012-02-15,2012,2,0.5327,0.1656,-0.47,8.7,Sentinel-2/Landsat8 (simulated)
2012-03-15,2012,3,0.601,0.1378,-1.48,17.6,Sentinel-2/Landsat8 (simulated)
2012-04-15,2012,4,0.7086,0.2516,18.99,30.6,Sentinel-2/Landsat8 (simulated)
2012-05-15,2012,5,0.8104,0.257,27.77,24.4,Sentinel-2/Landsat8 (simulated)
2012-06-15,2012,6,0.7979,0.3187,37.13,22.6,Sentinel-2/Landsat8 (simulated)
2012-07-15,2012,7,0.799,0.3269,29.8,12.5,Sentinel-2/Landsat8 (simulated)
2012-08-15,2012,8,0.6474,0.1922,17.71,28.8,Sentinel-2/Landsat8 (simulated)
2012-09-15,2012,9,0.5465,0.1835,0.35,33.3,Sentinel-2/Landsat8 (simulated)
2012-10-15,2012,10,0.4267,0.1098,1.25,6.9,Sentinel-2/Landsat8 (simulated)
2012-11-15,2012,11,0.3195,0.1059,1.09,30.7,Sentinel-2/Landsat8 (simulated)
2012-12-15,2012,12,0.3338,0.1254,0.27,34.1,Sentinel-2/Landsat8 (simulated)
2013-01-15,2013,1,0.3521,0.1218,2.46,15.8,Sentinel-2/Landsat8 (simulated)
2013-02-15,2013,2,0.4996,0.1693,4.34,24.6,Sentinel-2/Landsat8 (simulated)
2013-03-15,2013,3,0.598,0.1949,-0.41,31.4,Sentinel-2/Landsat8 (simulated)
2013-04-15,2013,4,0.6219,0.2128,16.34,24.2,Sentinel-2/Landsat8 (simulated)
2013-05-15,2013,5,0.8174,0.2676,27.75,18.9,Sentinel-2/Landsat8 (simulated)
2013-06-15,2013,6,0.8484,0.3108,32.38,13.1,Sentinel-2/Landsat8 (simulated)
2013-07-15,2013,7,0.8211,0.3086,30.82,27.9,Sentinel-2/Landsat8 (simulated)
2013-08-15,2013,8,0.7508,0.2297,12.19,27.3,Sentinel-2/Landsat8 (simulated)
2013-09-15,2013,9,0.6483,0.1682,2.11,6.6,Sentinel-2/Landsat8 (simulated)
2013-10-15,2013,10,0.4796,0.1258,5.89,12.1,Sentinel-2/Landsat8 (simulated)
2013-11-15,2013,11,0.453,0.0939,-0.26,19.1,Sentinel-2/Landsat8 (simulated)
2013-12-15,2013,12,0.3744,0.0785,4.61,12.7,Sentinel-2/Landsat8 (simulated)
2014-01-15,2014,1,0.4675,0.096,0.19,5.5,Sentinel-2/Landsat8 (simulated)
2014-02-15,2014,2,0.5251,0.1176,3.06,25.2,Sentinel-2/Landsat8 (simulated)
2014-03-15,2014,3,0.6978,0.1609,1.89,34.8,Sentinel-2/Landsat8 (simulated)
2014-04-15,2014,4,0.7288,0.2585,15.26,29.4,Sentinel-2/Landsat8 (simulated)
2014-05-15,2014,5,0.8769,0.2667,29.04,18.3,Sentinel-2/Landsat8 (simulated)
2014-06-15,2014,6,0.9355,0.2615,32.67,24.3,Sentinel-2/Landsat8 (simulated)
2014-07-15,2014,7,0.8326,0.2814,34.79,20.7,Sentinel-2/Landsat8 (simulated)
2014-08-15,2014,8,0.7356,0.1646,18.7,13.8,Sentinel-2/Landsat8 (simulated)
2014-09-15,2014,9,0.5823,0.1904,-1.98,24.8,Sentinel-2/Landsat8 (simulated)
2014-10-15,2014,10,0.5399,0.1909,0.92,12.4,Sentinel-2/Landsat8 (simulated)
2014-11-15,2014,11,0.4064,0.1189,0.36,17.7,Sentinel-2/Landsat8 (simulated)
2014-12-15,2014,12,0.4032,0.0575,0.76,21.8,Sentinel-2/Landsat8 (simulated)
2015-01-15,2015,1,0.395,0.0564,1.46,34.1,Sentinel-2/Landsat8 (simulated)
2015-02-15,2015,2,0.4982,0.1337,0.79,26.9,Sentinel-2/Landsat8 (simulated)
